id_frente,id_deputado,nome_deputado,partido,uf
53904,204412,Dr. Zacharias Calil,UNIÃO,GO
53904,160640,Eros Biondini,PL,MG
53904,178959,Hiran Gonçalves,null,RR
53904,204435,Jesus Sérgio,null,AC
53904,160534,Lauriete,null,ES
53904,74585,Lincoln Portela,PL,MG
53904,204573,Otto Alencar Filho,null,BA
53904,141553,Vanderlei Macris,null,SP
53906,66828,Fausto Pinato,PP,SP
53906,136811,Afonso Hamm,PP,RS
53906,160541,Arthur Lira,PP,AL
53906,74090,Átila Lins,PSD,AM
53906,74459,Átila Lira,null,PI
53906,178928,Christiane de Souza Yared,null,PR
53906,204440,Christino Aureo,null,RJ
53906,204454,Daniel Silveira,null,RJ
53906,204451,Delegado Antônio Furtado,null,RJ
53906,178953,Expedito Netto,null,RO
53906,73482,Henrique Fontana,null,RS
53906,81055,Márcio Jerry,PCdoB,MA
53906,204522,Marco Bertaiolli,null,SP
53906,204428,Marília Arraes,null,PE
53906,141488,Paulo Teixeira,PT,SP
53906,160639,Professora Dorinha Seabra Rezende,null,TO
53906,178863,Uldurico Junior,null,BA
53906,178889,Zé Carlos,null,MA
53908,160553,Antonio Brito,PSD,BA
53908,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ
53908,204502,Bozzella,null,SP
53908,204370,Célio Moura,null,TO
53908,204409,Daniel Trzeciak,PSDB,RS
53908,178908,Delegado Éder Mauro,PL,PA
53908,178929,Diego Garcia,REPUBLICANOS,PR
53908,73460,Gustavo Fruet,null,PR
53908,178866,Luizianne Lins,REDE,CE
53908,204446,Professor Joziel,null,RJ
53908,73788,Ricardo Barros,PP,PR
53908,204532,Vinicius Poit,null,SP
53908,160518,Weliton Prado,SOLIDARIEDADE,MG
53910,204516,Alexis Fonteyne,null,SP
53910,178937,Altineu Côrtes,PL,RJ
53910,160588,Diego Andrade,PSD,MG
53910,143632,Domingos Neto,PSD,CE
53910,204537,Enrico Misasi,null,SP
53910,141431,Fernando Coelho Filho,UNIÃO,PE
53910,178959,Hiran Gonçalves,null,RR
53910,204574,Junior Lourenço,MDB,MA
53910,178954,Lucio Mosquini,PL,RO
53910,204526,Luiz Philippe de Orleans e Bragança,PL,SP
53910,178895,Misael Varella,PSD,MG
53910,204449,Nelson Barbudo,PODE,MT
53910,141555,Vinicius Carvalho,PL,SP
53911,141391,Arnaldo Jardim,CIDADANIA,SP
53911,178829,Capitão Augusto,PL,SP
53911,141405,Celso Maldaner,null,SC
53911,204355,Da Vitoria,PP,ES
53911,74060,Daniel Almeida,PCdoB,BA
53911,204367,Daniel Freitas,PL,SC
53911,160588,Diego Andrade,PSD,MG
53911,178854,Elmar Nascimento,UNIÃO,BA
53911,141431,Fernando Coelho Filho,UNIÃO,PE
53911,204444,Helio Lopes,PL,RJ
53911,204405,Liziane Bayer,null,RS
53911,204404,Lucas Redecker,PSD,RS
53911,204448,Luiz Antônio Corrêa,null,RJ
53911,204506,Marcos Pereira,REPUBLICANOS,SP
53911,204540,Maria Rosas,REPUBLICANOS,SP
53911,204498,Olival Marques,PODE,PA
53911,204406,Pedro Westphalen,PP,RS
53911,178925,Rejane Dias,null,PI
53911,178989,Renata Abreu,PODE,SP
53912,160559,Alceu Moreira,MDB,RS
53912,178831,André Abdon,PP,AP
53912,69871,Bacelar,PV,BA
53912,178948,Beto Rosado,null,RN
53912,93083,Cacá Leão,null,BA
53912,204440,Christino Aureo,null,RJ
53912,74467,Damião Feliciano,UNIÃO,PB
53912,204454,Daniel Silveira,null,RJ
53912,204451,Delegado Antônio Furtado,null,RJ
53912,204569,Delegado Pablo,null,AM
53912,160587,Fábio Trad,null,MS
53912,115746,Gelson Azevedo,null,RJ
53912,204556,Marcelo Ramos,null,AM
53912,204441,Otoni de Paula,PSD,RJ
53912,178933,Sergio Souza,MDB,PR
53912,74283,Vicentinho,null,SP
53912,178889,Zé Carlos,null,MA
53913,204515,André Janones,REDE,MG
53913,69871,Bacelar,PV,BA
53913,74052,Bosco Costa,null,SE
53913,178908,Delegado Éder Mauro,PL,PA
53913,178929,Diego Garcia,REPUBLICANOS,PR
53913,132504,Enio Verri,null,PR
53913,160587,Fábio Trad,null,MS
53913,160666,Félix Mendonça Júnior,PDT,BA
53913,74317,Júlio Cesar,PSD,PI
53913,204543,Luiz Flávio Gomes,null,SP
53913,178858,Mário Negromonte Jr.,PSB,BA
53913,74160,Patrus Ananias,PT,MG
53913,204446,Professor Joziel,null,RJ
53913,178921,Sebastião Oliveira,null,PE
53913,160518,Weliton Prado,SOLIDARIEDADE,MG
53916,178948,Beto Rosado,null,RN
53916,204502,Bozzella,null,SP
53916,204476,Chiquinho Brazão,null,RJ
53916,141408,Cleber Verde,MDB,MA
