id,nome,siglaPartido,siglaUF,idLegislatura
178927,Aliel Machado,PV,PR,57
133439,André Figueiredo,PDT,CE,57
220675,Antônio Doido,MDB,PA,57
220605,Bandeira de Mello,PV,RJ,57
220690,Capitão Alden,PL,BA,57
178876,Célio Silveira,MDB,GO,57
220555,Daiana Santos,PCdoB,RS,57
178908,Delegado Éder Mauro,PL,PA,57
220610,Dr. Fernando Máximo,PL,RO,57
204481,Dr. Jaziel,PL,CE,57
220589,Eduardo Velloso,SOLIDARIEDADE,AC,57
230765,Enfermeira Rejane,PCdoB,RJ,57
204473,General Girão,PL,RN,57
74270,Gilberto Nascimento,PSD,SP,57
220664,Guilherme Uchoa,PSD,PE,57
178873,Helder Salomão,PT,ES,57
