id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
204474,Juarez Costa,REPUBLICANOS,MT,3,0,0
220667,Pedro Campos,PSB,PE,3,0,0
220650,Paulo Alexandre Barbosa,PSDB,SP,3,0,0
204459,Daniela do Waguinho,REPUBLICANOS,RJ,3,0,0
66385,Julio Arcoverde,PP,PI,3,0,0
204419,Glaustin da Fokus,PODE,GO,3,0,0
220677,Keniston Braga,MDB,PA,3,0,0
143084,Tiago Dimas,PODE,TO,3,0,0
74400,Paulo Pimenta,PT,RS,3,0,0
179000,Marcelo Álvaro Antônio,PL,MG,3,0,0
98148,Cobalchini,MDB,SC,3,0,0
141450,Hugo Leal,PSD,RJ,3,0,0
204479,Nicoletti,PL,RR,3,0,0
220586,Rafael Brito,MDB,AL,3,0,0
198783,Emanuel Pinheiro Neto,PSD,MT,3,0,0
220571,Daniel Agrobom,PL,GO,3,0,0
204361,Carlos Chiodini,MDB,SC,3,0,0
107283,Gleisi Hoffmann,PT,PR,3,0,0
220706,Padovani,PP,PR,3,0,0
204572,Capitão Alberto Neto,PL,AM,3,0,0
204426,Carlos Veras,PT,PE,3,0,0
157130,Túlio Gadêlha,PSD,PE,3,0,0
220540,Duda Ramos,PODE,RR,3,0,0
160161,Marcelo Queiroz,PSDB,RJ,3,0,0
122974,Pedro Lucas Fernandes,UNIÃO,MA,3,0,0
220668,Maria Arraes,PSB,PE,3,0,0
220609,Maurício Carvalho,UNIÃO,RO,3,0,0
220623,Duda Salabert,PSOL,MG,3,0,0
204379,Acácio Favacho,MDB,AP,3,0,0
234788,Heloísa Helena,REDE,RJ,3,0,0
204353,Aline Gurgel,UNIÃO,AP,3,0,0
98615,Ismael,PL,SC,3,0,0
204351,Dr. Luiz Ovando,PP,MS,3,0,0
121948,Adriano do Baldy,PP,GO,3,0,0
74060,Daniel Almeida,PCdoB,BA,3,0,0
220573,Dorinaldo Malafaia,PDT,AP,3,0,0
178881,Aluisio Mendes,REPUBLICANOS,MA,3,0,0
