apelido,codTipoOrgao,id,nome,nomePublicacao,nomeResumido,sigla,tipoOrgao,uri
MPV68,9,5594,"Altera as Leis nº 10.209, de 23 de março de 2001, e 10.233, de 5 de junho de 2001, e dá outras providências.",MPV68,null,MPV06802,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5594
MPV69,9,5595,Dispõe sobre a proteção de informação não divulgada submetida para aprovação da comercialização de produtos e dá outras providências,MPV69,null,MPV06902,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5595
MPV70,9,5599,"Dispõe sobre a participação de capital estrangeiro nas empresas jornalísticas e de radiodifusão sonora e de sons e imagens, conforme o § 4º do art. 222 da Constituição, altera os arts. 38 e 64 da Lei nº 4.117, de 27 de agosto de 1962, o § 3º do art. 12 do Decreto-lei nº 236, de 28 de fevereiro de 1967, e dá outras providências",MPV70,null,MPV07002,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5599
MPV71,9,5600,"Altera disposições das Leis nº 9.028, de 12 de abril de 1995, e 10.480, de 2 de julho de 2002, da Medida Provisória nº 2.229-43, de 6 de setembro de 2001, dispõe sobre a Secretaria da Receita Federal, e dá outras providências.",MPV71,null,MPV07102,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5600
MPV72,9,5601,"Abre crédito extraordinário, no valor de R$208.000.000,00, em favor do Ministério da Integração Nacional e de Minas e Energia, para os fins que especifica.",MPV72,null,MPV07202,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5601
MPV73,9,5602,"Revoga o art. 12 da Medida Provisória nº 66, de 29 de agosto de 2002.",MPV73,null,MPV07302,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5602
MPV74,9,5603,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, para assegurar o pagamento de seguro-desemprego ao trabalhador resgatado da condição análoga à de escravo.",MPV74,null,MPV07402,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5603
MPV75,9,5604,"Altera a Legislação Tributária Federal, e dá outras providências.",MPV75,null,MPV07502,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5604
MPV76,9,5605,"Dispõe sobre a instituição de equipe de transição pelo candidato eleito para o cargo de Presidente da República, cria cargos em comissão, e dá outras providências.",MPV76,null,MPV07602,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5605
MPV77,9,5606,"Altera as Leis nº 10.464, de 24 de maio de 2002, 10.177, de 12 de janeiro de 2001, e 10.437, de 25 de abril de 2002; autoriza a concessão de crédito, com recursos dos Fundos Constitucionais de Financiamento do Norte, Nordeste e Centro-Oeste, para aquisição dos títulos do Tesouro Nacional necessários à contratação de operação na forma da Resolução nº 2.471, de 26 de fevereiro de 1968, do Conselho Monetário Nacional, relacionada com dívidas contraídas com recursos de outras fontes; dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.",MPV77,null,MPV07702,Comissão Medida Provisória,https://dadosabertos.camara.leg.br/api/v2/orgaos/5606
