id_deputado,nome_deputado,uf,total_frentes
220549,Any Ortiz,RS,50
220548,Camila Jara,MS,49
160553,Antonio Brito,BA,49
160600,Arthur Oliveira Maia,BA,49
220607,Max Lemos,RJ,49
220617,Murillo Gouvea,RJ,49
204517,Zé Vitor,MG,49
220695,Rogéria Santos,BA,49
204512,Delegado Marcelo Freitas,MG,49
220663,Eriberto Medeiros,PE,49
220598,Tarcísio Motta,RJ,49
160665,Augusto Coutinho,PE,48
198783,Emanuel Pinheiro Neto,MT,48
220602,Dimas Gadelha,RJ,48
160556,Padre João,MG,48
204351,Dr. Luiz Ovando,MS,48
180214,Pastor Diniz,RR,48
74554,José Rocha,BA,47
220590,Coronel Ulysses,AC,47
162067,Kiko Celeguim,SP,47
160642,Pastor Eurico,PE,47
220632,Ana Pimentel,MG,47
204416,Sanderson,RS,47
178970,João Daniel,SE,46
204497,Júnior Ferrari,PA,46
220700,Florentino Neto,PI,46
220616,Luciano Vieira,RJ,46
204378,Coronel Chrisóstomo,RO,46
220528,Dr. Victor Linhalis,ES,45
204379,Acácio Favacho,AP,45
220568,Gustavo Gayer,GO,45
141398,Carlos Zarattini,SP,45
209189,Joseildo Ramos,BA,45
220613,Roberto Monteiro Pai,RJ,45
160640,Eros Biondini,MG,45
220606,Reimont,RJ,45
220668,Maria Arraes,PE,44
220552,Zucco,RS,44
179000,Marcelo Álvaro Antônio,MG,44
160569,Waldenor Pereira,BA,44
74159,Odair Cunha,MG,44
160512,Aureo Ribeiro,RJ,43
220569,Silvye Alves,GO,43
160610,Valmir Assunção,BA,43
204361,Carlos Chiodini,SC,43
220604,Marcos Tavares,RJ,43
74270,Gilberto Nascimento,SP,43
74383,Giacobo,PR,43
214694,Jorge Goetten,SC,43
204374,Bia Kicis,DF,43
220707,Amanda Gentil,MA,43
162332,Luiz Nishimori,PR,43
204355,Da Vitoria,ES,43
204427,Fernando Rodolfo,PE,42
220706,Padovani,PR,42
160535,Marcon,RS,42
220713,Saullo Vianna,AM,42
73692,Osmar Terra,RS,42
220638,Antonio Carlos Rodrigues,SP,42
220556,Ana Paula Lima,SC,42
81055,Márcio Jerry,MA,42
204441,Otoni de Paula,RJ,42
178987,Orlando Silva,SP,42
220647,Mauricio Neves,SP,41
220703,Neto Carletto,BA,41
220666,Coronel Meira,PE,41
161550,Emidinho Madeira,MG,41
191923,Flávio Nogueira,PI,41
220545,Filipe Martins,TO,41
204488,Célio Studart,CE,41
221328,Adilson Barroso,SP,41
204486,Mauro Benevides Filho,CE,41
74585,Lincoln Portela,MG,41
220537,Helena Lima,RR,40
220572,Marussa Boldrin,GO,40
160673,Giovani Cherini,RS,40
