aprovacao,data,dataHoraRegistro,descricao,id,proposicaoObjeto,siglaOrgao,uri,uriEvento,uriOrgao,uriProposicaoObjeto
0,2026-04-16,2026-04-16T11:41:16,Rejeitado o Requerimento.,2266116-130,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2266116-130,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-16,2026-04-16T11:23:47,Rejeitado o Requerimento.,2266116-126,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2266116-126,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
0,2026-04-16,2026-04-16T11:10:37,Rejeitado o Requerimento.,2266116-123,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2266116-123,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T10:44:13,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 7.750, de 2017.",2139808-110,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/2139808-110,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T10:41:23,"Aprovada a Redação Final, assinada pela relatora, Dep. Chris Tonietto (PL/RJ).",1198010-165,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/1198010-165,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T10:40:21,Aprovada a Emenda de Redação.,1198010-163,null,PLEN,https://dadosabertos.camara.leg.br/api/v2/votacoes/1198010-163,https://dadosabertos.camara.leg.br/api/v2/eventos/81692,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,null
1,2026-04-16,2026-04-16T10:35:18,Aprovado o Requerimento.,2616120-2,REQ 4/2026 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2616120-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616120
1,2026-04-16,2026-04-16T10:35:09,Aprovado o Requerimento.,2616036-2,REQ 3/2026 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2616036-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616036
1,2026-04-16,2026-04-16T10:34:55,Aprovado o Requerimento.,2616027-2,REQ 2/2026 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2616027-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2616027
1,2026-04-16,2026-04-16T10:34:42,Aprovado o Requerimento.,2608152-2,REQ 1/2026 CEXMABRU,CEXMABRU,https://dadosabertos.camara.leg.br/api/v2/votacoes/2608152-2,https://dadosabertos.camara.leg.br/api/v2/eventos/81593,https://dadosabertos.camara.leg.br/api/v2/orgaos/539407,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2608152
