nome_deputado,uf,categoria,valor_gasto,z_score
Filipe Martins,TO,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",270,0.7071
Damião Feliciano,PB,COMBUSTÍVEIS E LUBRIFICANTES.,8920.93,0.7071
Bohn Gass,RS,TELEFONIA,217.11,0.7071
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5240,0.7044
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5240,0.7044
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,360.05,0.7019
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,360.03,0.7017
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,360,0.7015
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",37.03,0.7001
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",36.76,0.6818
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1674.52,0.6762
Bohn Gass,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,5160.24,0.6745
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,310.34,0.6673
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,226.01,0.6648
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,1639.19,0.652
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1633.18,0.6479
Marangoni,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,12000,0.6437
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2057.15,0.6153
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,76.08,0.6147
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,1918.42,0.6061
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,1565.41,0.6015
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,4360.74,0.5989
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,4360.74,0.5989
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,4360.74,0.5989
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1559.15,0.5972
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1559.15,0.5972
Dagoberto Nogueira,MS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",438,0.5952
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,2021.15,0.5911
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,222.99,0.5902
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,1511.14,0.5643
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34.88,0.5547
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,221.4,0.5509
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1485.97,0.5471
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,1485.97,0.5471
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1952.88,0.5452
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,267.23,0.5402
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,1943.13,0.5387
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,1472,0.5375
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34.52,0.5303
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,220.55,0.5299
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1536.85,0.5154
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1521.97,0.4999
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,304.85,0.4991
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1515.63,0.4934
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,1417.22,0.4914
